candidate,priorTeenEvidence,adultOnlyAddedEvidence,stageChanged,decisionCouldChange,why
"Crowned (A Conyza Bennett story, Book 3)","trust=untrusted_context_only; occurrences=2; underfillOccurrences=2; maxNativeSpecific=0; maxQueryOnly=7; maxCategoryOnly=0; queryOnlyUnresolved=2/2; wouldPassWithoutQueryEvidence=0/2; presetTests=Test C","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"Divergent Official Illustrated Movie Companion","trust=untrusted_context_only; occurrences=2; underfillOccurrences=0; maxNativeSpecific=0; maxQueryOnly=6; maxCategoryOnly=0; queryOnlyUnresolved=2/2; wouldPassWithoutQueryEvidence=0/2; presetTests=Test A","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"Last Chance Books","trust=untrusted_context_only; occurrences=2; underfillOccurrences=2; maxNativeSpecific=0; maxQueryOnly=5; maxCategoryOnly=0; queryOnlyUnresolved=2/2; wouldPassWithoutQueryEvidence=0/2; presetTests=Test A","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"Love Is Hell","trust=untrusted_context_only; occurrences=1; underfillOccurrences=1; maxNativeSpecific=0; maxQueryOnly=7; maxCategoryOnly=0; queryOnlyUnresolved=1/1; wouldPassWithoutQueryEvidence=0/1; presetTests=Test C","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"Malcolm and Juliet","trust=untrusted_context_only; occurrences=1; underfillOccurrences=1; maxNativeSpecific=0; maxQueryOnly=5; maxCategoryOnly=0; queryOnlyUnresolved=1/1; wouldPassWithoutQueryEvidence=0/1; presetTests=Test C","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"Pretties with Ugly Thoughts","trust=untrusted_context_only; occurrences=2; underfillOccurrences=2; maxNativeSpecific=0; maxQueryOnly=5; maxCategoryOnly=0; queryOnlyUnresolved=2/2; wouldPassWithoutQueryEvidence=0/2; presetTests=Test A","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"Someone Like Summer","trust=untrusted_context_only; occurrences=3; underfillOccurrences=2; maxNativeSpecific=0; maxQueryOnly=6; maxCategoryOnly=0; queryOnlyUnresolved=3/3; wouldPassWithoutQueryEvidence=0/3; presetTests=Test A|Test B","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"Starclimber","trust=untrusted_context_only; occurrences=2; underfillOccurrences=1; maxNativeSpecific=0; maxQueryOnly=5; maxCategoryOnly=0; queryOnlyUnresolved=2/2; wouldPassWithoutQueryEvidence=0/2; presetTests=Test C","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"Sydney Bridge Upside Down: Text Classics","trust=untrusted_context_only; occurrences=1; underfillOccurrences=1; maxNativeSpecific=0; maxQueryOnly=6; maxCategoryOnly=0; queryOnlyUnresolved=1/1; wouldPassWithoutQueryEvidence=0/1; presetTests=Test C","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
"The Giver Illustrated Gift Edition","trust=untrusted_context_only; occurrences=1; underfillOccurrences=1; maxNativeSpecific=0; maxQueryOnly=5; maxCategoryOnly=0; queryOnlyUnresolved=1/1; wouldPassWithoutQueryEvidence=0/1; presetTests=Test A","none observed in Teen corpus artifacts (Adult-only signal-trace/canonical-promotion channels are age-band gated and not present in Teen diagnostics)",no,no,"all observations are query-only unresolved with no trusted native support; prior trusted counterfactual already produced zero promotions"
