profileId,profileLabel,declaredFamily,liveQueryFamily,primaryQuery,primaryAccepted,primarySelected,secondaryAccepted,secondarySelected,finalSelectedCount,primaryRawApiCount,primaryNarrativeCandidates,primaryPublicationRejectShare,primaryWeakShare,diversityExclusionCount,secondaryQueryCount,bucket,secondaryContributor,fallbackState,confidence
mystery-classic-whodunit,Classic whodunit mystery,mystery,mystery,young adult mystery fiction novel,3,2,6,4,6,20,2,0.647,0.5,1,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,medium
mystery-psychological-thriller,Psychological thriller mystery,mystery,mystery,young adult mystery fiction novel,3,2,4,4,6,20,2,0.647,0,1,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,medium
mystery-detective-crime,Detective and crime mystery,mystery,mystery,young adult mystery fiction novel,3,2,1,1,3,20,2,0.647,0.5,1,1,E_diversity_filtering,B_insufficient_recall_underlying,fallback_required_for_minimum_slate,medium
mystery-cozy-amateur,Cozy amateur-sleuth mystery,mystery,mystery,young adult mystery fiction novel,3,2,6,4,6,20,2,0.647,0.5,1,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,medium
fantasy-high-epic,High epic fantasy,fantasy,fantasy,young adult fantasy fiction novel,6,6,0,0,6,20,6,0.857,0.5,0,1,A_primary_query_succeeded,,fallback_not_activated,medium
fantasy-urban-paranormal,Urban paranormal fantasy,fantasy,fantasy,young adult fantasy fiction novel,6,6,0,0,6,20,6,0.857,0.333,0,1,A_primary_query_succeeded,,fallback_not_activated,high
fantasy-dark-court,Dark court and fae fantasy,fantasy,fantasy,young adult fantasy fiction novel,6,6,1,0,6,20,6,0.857,0.167,0,1,A_primary_query_succeeded,,fallback_activated_not_selected,high
fantasy-fairy-tale-retelling,Fairy tale retelling fantasy,fantasy,fantasy,young adult fantasy fiction novel,6,6,0,0,6,20,6,0.857,0.167,0,1,A_primary_query_succeeded,,fallback_not_activated,high
horror-supernatural-ghost,Supernatural and ghost horror,horror,horror,young adult horror fiction novel,1,0,6,6,6,20,1,0.474,0,0,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,medium
horror-gothic-dark,Gothic and dark horror,horror,horror,young adult horror fiction novel,1,1,0,0,1,20,1,0.474,1,0,1,A_primary_query_succeeded,,fallback_not_activated,medium
horror-psychological-thriller,Psychological and body horror,horror,horror,young adult horror fiction novel,3,3,0,0,3,20,3,0.765,0.667,0,1,A_primary_query_succeeded,,fallback_not_activated,medium
scifi-space-opera,Space opera science fiction,science_fiction,science_fiction,young adult science fiction novel,0,0,3,3,3,20,0,0.8,0,0,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,high
scifi-dystopian,Dystopian science fiction,science_fiction,science_fiction,young adult science fiction novel,0,0,6,6,6,20,0,0.8,0,0,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,high
scifi-speculative-mixed,Speculative and tech science fiction,science_fiction,science_fiction,young adult science fiction novel,0,0,0,0,0,20,0,0.8,0,0,1,A_primary_query_succeeded,,fallback_not_activated,low
contemporary-coming-of-age,Coming-of-age contemporary,contemporary,general,young adult contemporary fiction novel,0,0,5,3,3,20,0,0.75,0,1,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,high
contemporary-issues-social,Social issues contemporary,contemporary,general,young adult contemporary fiction novel,0,0,5,3,3,20,0,0.75,0,1,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,high
contemporary-friendship-family,Friendship and family contemporary,contemporary,romance,young adult romance fiction novel,6,4,5,2,6,20,5,0.714,0.25,2,1,E_diversity_filtering,,fallback_required_for_minimum_slate,high
historical-war-era,War-era historical fiction,historical,historical,young adult historical fiction novel,1,1,6,5,6,20,1,0.684,1,0,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,high
historical-adventure-exploration,Historical adventure and exploration,historical,historical,young adult historical fiction novel,1,1,1,1,2,20,1,0.684,1,0,1,C_publication_filtering,,fallback_required_for_minimum_slate,high
historical-drama-social,Historical social drama,historical,historical,young adult historical fiction novel,1,1,5,2,3,20,1,0.684,0,2,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,high
romance-contemporary-sweet,Sweet contemporary romance,romance,romance,young adult romance fiction novel,6,4,5,2,6,20,5,0.714,0.5,0,1,F_ranking_selection,,fallback_required_for_minimum_slate,medium
romance-fantasy-slow-burn,Fantasy slow-burn romance,romance,fantasy,young adult fantasy fiction novel,6,6,6,0,6,20,6,0.857,0.333,0,1,A_primary_query_succeeded,,fallback_activated_not_selected,high
romance-royals-enemies,Royals and enemies-to-lovers romance,romance,romance,young adult romance fiction novel,6,4,5,2,6,20,5,0.714,0.5,2,1,E_diversity_filtering,,fallback_required_for_minimum_slate,medium
general-adventure-action,Adventure and action general,general,general,young adult adventure fiction novel,1,1,4,2,3,20,1,0.526,0,1,1,G_query_mismatch,C_publication_filtering_contributing,fallback_required_for_minimum_slate,medium
general-mixed-broad,Broad mixed-genre general,general,fantasy,young adult fantasy fiction novel,6,6,1,0,6,20,6,0.857,0.167,0,1,A_primary_query_succeeded,,fallback_activated_not_selected,high
general-weak-minimal,Weak minimal signals general,general,fantasy,young adult fantasy fiction novel,6,5,1,1,6,20,6,0.857,0.4,0,1,F_ranking_selection,,fallback_required_for_minimum_slate,medium
