runId,round,scopeFamily,requiredFamily,profileId,profileLabel,queryText,queryFamily,queryCascadeIndex,attemptNumber,elapsedMs,timedOut,abortOrigin,responseHeadersReceived,bodyCompleted,docsReturned,acceptedAfterSourcePolicy,finalContribution,contributedToFinalSlate,failedReason,lifecycleStage
fantasy-r1,1,fantasy,fantasy,fantasy-high-epic,High epic fantasy,fantasy school,fantasy,0,1,1111,false,,true,true,8,2,1,true,,completed
fantasy-r1,1,fantasy,fantasy,fantasy-high-epic,High epic fantasy,science fiction dystopian,speculative,1,1,291,false,,true,true,8,3,1,true,,completed
fantasy-r1,1,fantasy,fantasy,fantasy-high-epic,High epic fantasy,action adventure,adventure,2,1,657,false,,true,true,8,0,0,false,,completed
fantasy-r1,1,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy,fantasy,3,1,279,false,,true,true,8,4,0,false,,completed
fantasy-r1,1,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult contemporary fantasy,contemporary_drama,4,1,1148,false,,true,true,8,3,0,false,,completed
fantasy-r1,1,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy adventure,fantasy,6,1,302,false,,true,true,8,2,0,false,,completed
mystery_thriller-r1,1,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,teen mystery thriller,mystery_thriller,0,1,364,false,,true,true,8,6,5,true,,completed
horror_paranormal-r1,1,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,young adult horror,horror_paranormal,0,1,1412,false,,true,true,8,4,3,true,,completed
horror_paranormal-r1,1,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,young adult mystery,mystery_thriller,1,1,378,false,,true,true,8,4,0,false,,completed
speculative_scifi-r1,1,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,science fiction adventure,speculative,0,1,504,false,,true,true,8,0,0,false,,completed
speculative_scifi-r1,1,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,science fiction adventurous fast-paced alien war,speculative,1,1,178,false,,true,true,0,0,0,false,,completed
speculative_scifi-r1,1,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,young adult fantasy,emergency_fallback,2,1,448,false,,true,true,8,0,0,false,emergency_fallback_probe_returned_docs,completed
contemporary-r1,1,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,teen realistic fiction,contemporary_drama,0,1,208,false,,true,true,8,7,2,true,,completed
contemporary-r1,1,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,young adult contemporary romance,contemporary_drama,1,1,499,false,,true,true,8,4,1,true,,completed
romance-r1,1,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,young adult romance,romance_historical,0,1,341,false,,true,true,8,5,2,true,,completed
romance-r1,1,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,romance general cute fun,romance_historical,1,1,209,false,,true,true,1,1,0,false,,completed
adventure_historical-r1,1,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen historical fiction,romance_historical,0,1,647,false,,true,true,8,2,0,false,,completed
adventure_historical-r1,1,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen realistic fiction,contemporary_drama,1,1,302,false,,true,true,8,7,3,true,,completed
adventure_historical-r1,1,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult historical adventure,adventure,2,1,579,false,,true,true,8,0,0,false,,completed
adventure_historical-r1,1,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult fantasy,emergency_fallback,1,1,1183,false,,true,true,8,0,0,false,emergency_fallback_probe_returned_docs,completed
mystery_thriller-r2,2,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,teen mystery thriller,mystery_thriller,0,1,166,false,,true,true,8,6,5,true,,completed
horror_paranormal-r2,2,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,young adult horror,horror_paranormal,0,1,743,false,,true,true,8,4,3,true,,completed
horror_paranormal-r2,2,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,young adult mystery,mystery_thriller,1,1,1008,false,,true,true,8,4,0,false,,completed
speculative_scifi-r2,2,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,science fiction adventure,speculative,0,1,552,false,,true,true,8,0,0,false,,completed
speculative_scifi-r2,2,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,science fiction adventurous fast-paced alien war,speculative,1,1,487,false,,true,true,0,0,0,false,,completed
speculative_scifi-r2,2,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,young adult fantasy,emergency_fallback,2,1,289,false,,true,true,8,0,0,false,emergency_fallback_probe_returned_docs,completed
contemporary-r2,2,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,teen realistic fiction,contemporary_drama,0,1,209,false,,true,true,8,7,2,true,,completed
contemporary-r2,2,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,young adult contemporary romance,contemporary_drama,1,1,269,false,,true,true,8,4,1,true,,completed
romance-r2,2,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,young adult romance,romance_historical,0,1,671,false,,true,true,8,5,2,true,,completed
romance-r2,2,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,romance general cute fun,romance_historical,1,1,147,false,,true,true,1,1,0,false,,completed
adventure_historical-r2,2,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen historical fiction,romance_historical,0,1,298,false,,true,true,8,2,0,false,,completed
adventure_historical-r2,2,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen realistic fiction,contemporary_drama,1,1,139,false,,true,true,8,7,3,true,,completed
adventure_historical-r2,2,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult historical adventure,adventure,2,1,371,false,,true,true,8,0,0,false,,completed
adventure_historical-r2,2,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult fantasy,emergency_fallback,1,1,304,false,,true,true,8,0,0,false,emergency_fallback_probe_returned_docs,completed
fantasy-r2,2,fantasy,fantasy,fantasy-high-epic,High epic fantasy,fantasy school,fantasy,0,1,753,false,,true,true,8,2,1,true,,completed
fantasy-r2,2,fantasy,fantasy,fantasy-high-epic,High epic fantasy,science fiction dystopian,speculative,1,1,481,false,,true,true,8,3,1,true,,completed
fantasy-r2,2,fantasy,fantasy,fantasy-high-epic,High epic fantasy,action adventure,adventure,2,1,812,false,,true,true,8,0,0,false,,completed
fantasy-r2,2,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy,fantasy,3,1,321,false,,true,true,8,4,0,false,,completed
fantasy-r2,2,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult contemporary fantasy,contemporary_drama,4,1,401,false,,true,true,8,3,0,false,,completed
fantasy-r2,2,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy adventure,fantasy,6,1,1129,false,,true,true,8,2,0,false,,completed
horror_paranormal-r3,3,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,young adult horror,horror_paranormal,0,1,371,false,,true,true,8,4,3,true,,completed
horror_paranormal-r3,3,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,young adult mystery,mystery_thriller,1,1,606,false,,true,true,8,4,0,false,,completed
speculative_scifi-r3,3,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,science fiction adventure,speculative,0,1,811,false,,true,true,8,0,0,false,,completed
speculative_scifi-r3,3,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,science fiction adventurous fast-paced alien war,speculative,1,1,550,false,,true,true,0,0,0,false,,completed
