label,context,result,baselineValue,candidateValue
"signature_overall","overall content signature",pass,"",""
"signature_adult_fixture_set","adult fixture set signature",pass,"",""
"signature_teen_fixture_set","teen fixture set signature",pass,"",""
"prereq_status_run-v2-googlebooks-short-signal-boundary-regressions.mjs","run-v2-googlebooks-short-signal-boundary-regressions.mjs",pass,"",""
"prereq_status_run-v2-googlebooks-query-quality-regressions.mjs","run-v2-googlebooks-query-quality-regressions.mjs",pass,"",""
"adult_fixture_count","adult fixture set length",pass,"",""
"adult[0]:adult_ai_token_boundary_name","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_candidateTitle","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_likedSignals","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_dislikedSignals","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_score","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_matchedLikedSignals","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_matchedDislikedSignals","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_signalMatchTrace","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_matchedField","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_matchedText","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_matchMethod","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_rejectedShortMatches","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_perTitle_trace","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_perTitle_fields","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_perTitle_texts","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_perTitle_methods","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[0]:adult_ai_token_boundary_contentSignature","adult[0]:adult_ai_token_boundary",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_name","adult[1]:adult_ai_punctuated_acronym",pass,"",""
"adult[1]:adult_ai_punctuated_acronym_candidateTitle","adult[1]:adult_ai_punctuated_acronym",pass,"",""
