caseId,label,adultCanonicalCount,teenCanonicalCount,sharedCanonicalCount,parityAtNormalization,adultOnlyKeys,teenOnlyKeys
direct-canonical-phrase,"direct canonical phrase",8,4,3,false,"mystery|title|mystery crime thriller | mystery|categories|mystery crime thriller | mystery|genres|mystery crime thriller | detective|categories|mystery crime thriller | detective|genres|mystery crime thriller","conspiracy|description|mystery crime thriller"
approved-alias,"approved alias",2,2,0,false,"thriller|categories|mystery crime thriller | thriller|genres|mystery crime thriller","investigation|description|mystery crime thriller | serial killer|description|mystery crime thriller"
punctuation-acronym-variants,"punctuation and acronym variants",7,5,4,false,"science fiction|categories|science fiction | science fiction|genres|science fiction | sci fi|subtitle|science fiction","sci fi|description|science fiction"
cue-in-title-subtitle-categories-description,"cue in title/subtitle/categories/description",6,2,0,false,"horror|subtitle|horror paranormal | horror|categories|horror paranormal | horror|genres|horror paranormal | ghost|title|horror paranormal | supernatural|categories|horror paranormal | supernatural|genres|horror paranormal","ghost|description|horror paranormal | haunted|description|horror paranormal"
multiple-cues-one-family,"multiple cues map to one family",9,4,4,false,"mystery|categories|mystery crime thriller | mystery|genres|mystery crime thriller | detective|categories|mystery crime thriller | detective|genres|mystery crime thriller | investigation|description|mystery crime thriller",""
ambiguous-multi-family-cue-set,"cue set spans multiple families",8,4,4,false,"historical|categories|historical | historical|genres|historical | romance|categories|romance | romance|genres|romance",""
already-present-family-evidence,"already-present family evidence",7,3,2,false,"mystery|categories|mystery crime thriller | mystery|genres|mystery crime thriller | detective|title|mystery crime thriller | detective|categories|mystery crime thriller | detective|genres|mystery crime thriller","mystery|description|mystery crime thriller"
negated-or-contextual-mention,"negated/contextual mention",6,2,2,false,"thriller|title|mystery crime thriller | drama|description|drama contemporary | literary|categories|drama contemporary | literary|genres|drama contemporary",""
weak-generic-must-not-promote,"weak generic phrase",0,0,0,true,"",""
conflicting-positive-negative-cues,"conflicting positive and negative cues",8,4,4,false,"mystery|categories|mystery crime thriller | mystery|genres|mystery crime thriller | detective|categories|mystery crime thriller | detective|genres|mystery crime thriller",""
no-match-control,"no-match control",0,0,0,true,"",""
