round,scopeFamily,requiredFamily,profileId,profileLabel,controlRunId,experimentalRunId,controlElapsedMs,experimentalElapsedMs,addedWallClockMs,controlEligibleTimeoutCount,retryAttemptCount,retrySuccessCount,recoveredRawDocs,recoveredAcceptedAfterSourcePolicy,recoveredFinalContribution,slowdownWindowObserved
1,fantasy,fantasy,fantasy-high-epic,High epic fantasy,control-fantasy-r1,experimental-fantasy-r1,2527,2923,396,0,0,0,0,0,0,false
1,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,control-mystery_thriller-r1,experimental-mystery_thriller-r1,660,245,-415,0,0,0,0,0,0,false
1,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,control-horror_paranormal-r1,experimental-horror_paranormal-r1,1717,1045,-672,0,0,0,0,0,0,false
1,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,control-speculative_scifi-r1,experimental-speculative_scifi-r1,2533,1693,-840,0,0,0,0,0,0,false
1,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,control-contemporary-r1,experimental-contemporary-r1,698,592,-106,0,0,0,0,0,0,false
1,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,control-romance-r1,experimental-romance-r1,487,317,-170,0,0,0,0,0,0,false
1,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,control-adventure_historical-r1,experimental-adventure_historical-r1,1291,1254,-37,0,0,0,0,0,0,false
2,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,control-mystery_thriller-r2,experimental-mystery_thriller-r2,121,490,369,0,0,0,0,0,0,false
2,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,control-horror_paranormal-r2,experimental-horror_paranormal-r2,734,545,-189,0,0,0,0,0,0,false
2,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,control-speculative_scifi-r2,experimental-speculative_scifi-r2,1274,800,-474,0,0,0,0,0,0,false
