family,queryLabel,query,rawApiResults,narrativeCandidates,publicationIdentityPasses,publicationSurvivalPct,dominantReject,publicationPassDeltaVsCurrent,narrativeYieldDeltaVsCurrentPct,deltaVsCurrent
science_fiction,alt_1,"""young adult"" dystopian novel",100,36,36,100,missing_author,25,25,"pass +25, yield +25pp"
science_fiction,current,"young adult science fiction novel",100,11,11,100,missing_author,0,0,"pass +0, yield +0pp"
science_fiction,alt_3,"""young adult"" space opera novel",100,10,10,100,missing_author,-1,-1,"pass -1, yield -1pp"
science_fiction,alt_4,"""young adult"" science fiction adventure novel",100,5,5,100,missing_author,-6,-6,"pass -6, yield -6pp"
science_fiction,alt_2,"""young adult"" speculative fiction novel",100,4,4,100,missing_author,-7,-7,"pass -7, yield -7pp"
science_fiction,alt_5,"""young adult"" sci fi novel",100,3,3,100,missing_author,-8,-8,"pass -8, yield -8pp"
general,alt_4,"""young adult"" contemporary romance novel",100,10,10,100,publication_shape_writing_guide,3,3,"pass +3, yield +3pp"
general,current,"young adult contemporary fiction novel",100,7,7,100,publication_shape_writing_guide,0,0,"pass +0, yield +0pp"
general,alt_2,"""young adult"" coming of age novel",100,6,6,100,missing_author,-1,-1,"pass -1, yield -1pp"
general,alt_1,"""young adult"" contemporary novel",100,0,0,0,missing_author,-7,-7,"pass -7, yield -7pp"
general,alt_3,"""young adult"" realistic fiction novel",100,0,0,0,missing_author,-7,-7,"pass -7, yield -7pp"
general,alt_5,"""young adult"" social issues novel",100,0,0,0,missing_author,-7,-7,"pass -7, yield -7pp"
