implementationOrder,capability,behavioralClass,behavioralClassLabel,expectedRecommendationQualityGain,maintenanceGain,regressionRisk,productionStatus,stage,effectSurface,proposedSharedPrimitive,agePolicyConfigurationRequired,prerequisiteTests,executionStatus,confidenceState,architectureClassification,architectureEvidence,architectureStability,architectureFutureTrigger,behaviorChange,parityVerified,parityBaselineSignature,implementationCommit,active,preflightCheckpointRequired,preflightCheckpointTitle,noveltyProofRequirements,preflightDecisionRule,acceptanceCriteria,recommendation
303,"Canonical cue promotion",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=production_or_core; teen=production_or_core","scoring/family mapping","family weighting and diagnostics","promoteCanonicalNarrativeCues({ extractedSignals, profile, policy })","Family vocabulary and cue polarity map per age band.","run-v2-googlebooks-narrative-strength-ranking-regressions.mjs | run-v2-googlebooks-final-slate-identity-audit-regressions.mjs",pending,Hypothesis,"Divergence","googlebooks-303-canonical-cue-semantic-boundary-gate.json","Adult and Teen currently derive different canonical evidence records from the same documents before policy (validated by #303 semantic-boundary and semantic-core-only gates).","Reopen only if recommendation philosophy is unified or a new shared semantic ontology replaces age-specific cue models.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #303 semantic-boundary gate: policy-contaminated semantic split; do not force parity-preserving consolidation."
304,"Final slate identity auditing",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=production_or_core; teen=production_or_core","post-selection audit","eligibility + reporting","auditFinalSlateIdentity({ candidate, eligibilityContext, policy })","Identity rejection categories and confidence thresholds per age band.","run-v2-googlebooks-final-slate-identity-audit-regressions.mjs | run-v2-googlebooks-final-eligibility-regressions.mjs",pending,Hypothesis,"Divergence","googlebooks-204-final-slate-identity-role-gate.json","Role/equivalence gates show similar naming but materially different semantics or decision boundaries.","Reopen if policy wrappers are redesigned around a shared semantic contract with deterministic parity evidence.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #204 role gate: treat as shared identity-assessment contract with separate age-policy enforcement; do not force parity-preserving consolidation."
305,"Counterfactual final slate",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=production_or_core; teen=production_or_core","selection audit","diagnostic/reporting","simulateTieredFinalSlate({ candidates, tiers, minCleanCount, policy })","Tier definitions and underfill policy per age band.","run-v2-googlebooks-teen-taste-tier-audit.mjs | run-v2-googlebooks-teen-trusted-reconciliation-counterfactual.mjs | run-v2-googlebooks-teen-query-marginal-yield-audit.mjs",pending,Hypothesis,"Divergence","googlebooks-205-counterfactual-final-slate-role-gate.json","Role/equivalence gates show similar naming but materially different semantics or decision boundaries.","Reopen if policy wrappers are redesigned around a shared semantic contract with deterministic parity evidence.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #205 role gate: Adult and Teen counterfactuals answer different hypothetical questions; define contract only and avoid parity-preserving consolidation."
306,"Query quality comparison",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=diagnostic_only; teen=diagnostic_only","retrieval planning","retrieval (currently mixed production+diagnostic)","evaluateQueryQuality({ query, candidates, priorUnion, policy })","Definition of decision-worthy candidate by age band.","run-v2-googlebooks-query-quality-regressions.mjs | run-v2-googlebooks-teen-query-family-overlap-audit.mjs | run-v2-googlebooks-teen-query-marginal-yield-audit.mjs",pending,Hypothesis,"Mechanism","googlebooks-306-query-quality-role-gate.json","Query-quality telemetry collection and core metrics are shared, while age-band policy interpretation diverges downstream.","Reopen if age-band quality interpretation is unified or query-quality policy moves into a single cross-band decision model.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #306 role gate: shared query-quality mechanism with age-specific policy output differences; keep separate wrappers."
307,"Family-scoped query competition",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=diagnostic_only; teen=diagnostic_only","retrieval planning","retrieval policy","rankQueryFamiliesByMarginalYield({ families, union, policy })","Family competition objective function and early-stop policy.","run-v2-googlebooks-teen-query-family-overlap-audit.mjs | run-v2-googlebooks-teen-query-marginal-yield-audit.mjs | run-v2-googlebooks-query-quality-regressions.mjs",pending,Hypothesis,"Mechanism","googlebooks-307-family-query-competition-role-gate.json","Query-quality telemetry collection and core metrics are shared, while age-band policy interpretation diverges downstream.","Reopen if age-band quality interpretation is unified or query-quality policy moves into a single cross-band decision model.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #307 role gate: family competition uses shared mechanism with age-specific interpretation."
308,"Marginal decision-worthy yield",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=diagnostic_only; teen=diagnostic_only","retrieval audit","retrieval policy / diagnostic","computeMarginalYield({ queryResult, priorUnion, classifications, policy })","Decision-worthy class mapping per age band.","run-v2-googlebooks-teen-query-marginal-yield-audit.mjs | run-v2-googlebooks-query-quality-regressions.mjs",pending,Hypothesis,"Divergence","googlebooks-308-marginal-yield-role-gate.json","Role/equivalence gates show similar naming but materially different semantics or decision boundaries.","Reopen if policy wrappers are redesigned around a shared semantic contract with deterministic parity evidence.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #308 role gate: Adult and Teen marginal-yield analyses answer different questions; keep separate."
309,"Query promotion / replacement",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=production_or_core; teen=production_or_core","retrieval planning","retrieval/ranking handoff","promoteOrReplaceQuery({ familyStats, cueStats, policy })","Promotion thresholds and replacement policy.","run-v2-googlebooks-query-quality-regressions.mjs | run-v2-googlebooks-teen-query-marginal-yield-audit.mjs",pending,Hypothesis,"Mechanism","googlebooks-409-query-promotion-replacement-role-gate.json","Query-quality telemetry collection and core metrics are shared, while age-band policy interpretation diverges downstream.","Reopen if age-band quality interpretation is unified or query-quality policy moves into a single cross-band decision model.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #409 role gate: query promotion/replacement runs on a shared mechanism with age-specific policy interpretation."
310,"Narrative-strength scoring",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=production_or_core; teen=production_or_core","scoring/ranking","ranking + eligibility support","computeNarrativeStrengthScore({ candidate, policy })","Component weights and minimum confidence per age band.","run-v2-googlebooks-narrative-strength-ranking-regressions.mjs | run-v2-googlebooks-final-eligibility-regressions.mjs",pending,Hypothesis,"Divergence","googlebooks-410-narrative-strength-role-gate.json","Role/equivalence gates show similar naming but materially different semantics or decision boundaries.","Reopen if policy wrappers are redesigned around a shared semantic contract with deterministic parity evidence.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #410 role gate: narrative-strength responsibilities are in different pipeline layers."
311,"Meaningful taste tiers",same_name_different_semantics,"Same name, different semantics",Medium,Medium,High,"adult=production_or_core; teen=production_or_core","selection quality tiering","selection/ranking/reporting","classifyMeaningfulTasteTier({ signals, score, provenance, policy })","Tier thresholds and provenance guardrails per age band.","run-v2-googlebooks-teen-taste-tier-audit.mjs | run-v2-googlebooks-teen-weak-metadata-sufficiency-audit.mjs | run-v2-googlebooks-final-eligibility-regressions.mjs",pending,Hypothesis,"Divergence","googlebooks-411-meaningful-taste-tiers-role-gate.json","Role/equivalence gates show similar naming but materially different semantics or decision boundaries.","Reopen if policy wrappers are redesigned around a shared semantic contract with deterministic parity evidence.",unknown,false,"","",true,no,"","","","Shared interface contract adopted with unchanged age-band behavior and explicit semantic differences documented.","Reclassified by #411 role gate: meaningful taste tiers answer different age-band questions."
599,"Adult content weighting branch",age_specific_by_necessity,"Age-specific by necessity",None,Low,High,"adult=production_or_core; teen=production_or_core","eligibility/policy","eligibility","applyAgeBandContentPolicy({ candidate, ageBandPolicy })","Explicitly separate adult mature-content policy from teen safety policy.","run-v2-googlebooks-audience-maturity-separation-regressions.mjs | run-v2-googlebooks-final-eligibility-regressions.mjs | run-v2-googlebooks-age-band-infrastructure-audit-regressions.mjs",pending,Architectural,"Pipeline","googlebooks-599-adult-content-weighting-branch-role-gate.json","Capability is intentionally age-specific and tied to policy constraints.","Reopen only if age-band policy separation is intentionally removed.",unknown,false,"","",true,no,"","","","Capability remains separate; policy invariants and tests prevent accidental unification.","Reclassified by #599 role gate: keep adult content weighting as explicit age-specific policy branch."
